timestamp,btc_open,btc_close,btc_volume,btc_number_of_trades,eth_open,eth_close,eth_volume,eth_number_of_trades,djia_open,djia_close,djia_volume,ixic_open,ixic_close,ixic_volume
1571880000000.0,7412.41,8655.02,90748.21817,775418,160.39,181.5,904832.8606,267143,26893.92969,26805.5293,253590000.0,8180.04004,8185.7998,1882490000.0
1571960000000.0,8655.88,9230.0,162588.5854,1185369,181.53,179.49,1211737.437,373782,26789.60938,26958.06055,274610000.0,8150.58984,8243.12012,1894740000.0
1572050000000.0,9230.0,9529.93,93833.5416,799978,179.42,183.75,724423.4053,262415,26873.18295,27002.2806,279996666.7,8195.649737,8270.74349,1915253333.0
1572130000000.0,9528.23,9205.14,80174.21732,681128,183.84,181.72,582179.4455,225343,26956.75651,27046.50065,285383333.3,8240.709633,8298.36686,1935766667.0
1572220000000.0,9204.45,9407.62,64158.46245,559589,181.67,190.46,529964.5054,212841,27040.33008,27090.7207,290770000.0,8285.76953,8325.99023,1956280000.0
1572310000000.0,9407.62,9154.72,55241.78643,524035,190.45,183.13,537770.4306,194946,27061.07031,27071.46094,269610000.0,8313.34961,8276.84961,1834530000.0
1572390000000.0,9154.02,9140.85,54376.0249,490183,183.14,182.18,410969.861,167038,27110.71094,27186.68945,231750000.0,8284.28027,8303.98047,1928420000.0
1572480000000.0,9140.86,9231.61,43594.81412,478002,182.19,182.85,331519.7696,154534,27188.36914,27046.23047,273830000.0,8314.37988,8292.36035,2258270000.0
1572570000000.0,9231.4,9289.52,28923.06083,325421,182.86,182.91,179864.3974,107048,27142.94922,27347.35938,270870000.0,8335.0498,8386.40039,2057310000.0
1572650000000.0,9289.85,9194.71,27894.37828,326024,182.9,181.54,232621.5215,109861,27229.31966,27385.60938,271590000.0,8371.866533,8402.000327,2088176667.0
1572740000000.0,9196.46,9393.35,45894.45628,453749,181.53,185.71,321175.2913,147624,27315.69011,27423.85938,272310000.0,8408.683267,8417.600263,2119043333.0
1572830000000.0,9392.4,9308.66,45935.87367,492885,185.71,188.68,389668.6472,184562,27402.06055,27462.10938,273030000.0,8445.5,8433.2002,2149910000.0
1572910000000.0,9307.73,9339.05,37336.17037,402997,188.65,191.16,343219.9224,160110,27500.23047,27492.63086,286350000.0,8446.62012,8434.67969,2316710000.0
1573000000000.0,9339.16,9216.2,39117.47085,401984,191.16,186.68,309882.0821,152881,27502.74023,27492.56055,237910000.0,8426.57031,8410.62988,2332650000.0
1573080000000.0,9214.0,8773.73,62107.28924,567331,186.67,183.74,365029.7503,167904,27590.16016,27674.80078,259020000.0,8455.11035,8434.51953,2393950000.0
1573170000000.0,8773.74,8809.41,29469.48141,326730,183.71,184.89,192073.3804,112521,27686.19922,27681.24023,221440000.0,8422.66992,8475.30957,1974190000.0
1573260000000.0,8809.18,9039.47,34422.0298,375946,184.86,188.96,274940.5345,133008,27651.01953,27684.6569,215076666.7,8425.533203,8471.633137,1887950000.0
1573340000000.0,9040.16,8733.27,44888.05355,415982,188.96,184.98,255579.9343,128079,27615.83985,27688.07356,208713333.3,8428.396487,8467.956703,1801710000.0
1573430000000.0,8733.36,8821.94,40366.62947,406765,184.98,187.09,256782.6312,124488,27580.66016,27691.49023,202350000.0,8431.25977,8464.28027,1715470000.0
1573520000000.0,8821.91,8777.12,26810.11692,281593,187.09,188.11,197273.84,89631,27701.58984,27691.49023,213670000.0,8471.07031,8486.08984,1987820000.0
1573600000000.0,8777.54,8646.68,33468.46896,337019,188.07,184.92,245505.2997,114266,27622.03906,27783.58984,278390000.0,8455.01953,8482.09961,2173320000.0
1573690000000.0,8646.38,8471.73,46087.41775,423919,184.93,180.0,407466.7896,156868,27757.19922,27781.96094,303970000.0,8461.05957,8479.01953,2106550000.0
1573780000000.0,8471.62,8491.02,20902.29975,231473,179.99,182.37,172801.5258,89596,27843.53906,28004.89062,283720000.0,8524.48047,8540.83008,2188210000.0
1573860000000.0,8490.74,8502.4,27009.03708,259594,182.37,183.82,198892.4372,93753,27893.43294,28015.33398,273253333.3,8526.040367,8543.866863,2141220000.0
1573950000000.0,8502.87,8187.17,43017.69094,366263,183.82,178.2,293551.2363,131823,27943.32682,28025.77734,262786666.7,8527.600263,8546.903647,2094230000.0
